
587,295,602,293,604,302,591,309,
19,259,15,271,23,276,30,264,
21,228,30,226,35,241,21,238,
524,76,537,80,534,88,521,90,
181,10,191,8,193,21,180,24,
97,185,109,190,102,198,92,193,
84,193,95,193,99,204,87,205,
552,228,545,242,539,238,539,223,
585,340,595,357,603,353,592,331,
416,46,405,46,400,55,413,59,
394,44,412,40,416,25,397,30,
319,76,336,65,329,55,312,64,
327,83,352,86,348,104,326,97,
285,232,299,228,305,237,287,242,
330,221,330,246,343,237,339,223,
356,235,313,293,306,280,323,254,
144,334,155,321,149,314,137,323,
127,291,127,307,155,291,143,287,
73,278,89,268,101,276,79,290,
252,186,274,186,277,172,252,174,
431,288,481,296,494,279,479,271,
379,309,405,298,424,311,409,322,
479,174,476,204,508,211,511,200,
226,286,263,308,267,293,232,278,
204,255,195,291,204,296,216,271,
17,167,33,173,37,166,22,158,
51,229,80,232,78,220,51,220,
158,308,191,296,188,282,161,292,
228,238,252,278,262,268,240,233,
