
445,202,443,228,462,213,459,198,
481,259,495,258,491,221,482,221,
260,317,255,278,239,283,249,326,
300,304,262,336,297,337,312,309,
495,92,531,103,527,87,495,83,
466,124,498,114,504,128,469,137,
484,148,520,144,515,131,481,140,
577,277,614,271,604,256,566,259,
472,347,511,334,492,320,463,340,
473,320,495,292,479,292,461,316,
450,296,439,337,455,347,462,300,
401,331,396,355,410,357,414,333,
386,329,386,358,397,357,403,326,
370,327,416,326,407,312,363,317,
463,295,499,286,485,273,451,288,
533,79,547,129,556,124,547,86,
542,62,570,85,565,96,534,77,
592,93,561,110,573,86,584,87,
630,15,639,45,634,62,614,14,
417,65,453,88,446,101,410,75,
481,34,461,65,447,58,472,26,
518,16,497,51,508,53,531,25,
544,40,571,62,584,49,549,27,
557,162,591,143,599,152,561,176,
528,231,546,272,562,267,537,229,
508,232,513,280,528,280,522,231,
479,203,516,214,514,224,475,217,
462,185,496,155,504,166,467,201,
443,162,467,144,476,153,455,173,
408,137,447,149,448,137,432,123,
354,164,357,188,370,188,368,170,
363,138,413,123,409,111,358,129,
405,172,409,220,424,209,416,168,
354,279,406,276,401,290,349,300,
404,203,411,212,379,239,378,227,
338,212,370,246,376,231,351,206,
337,225,338,245,319,272,307,265,
220,302,228,290,213,287,207,296,
245,205,255,203,256,231,241,234,
272,231,248,246,259,196,275,210,
195,355,195,326,207,324,207,353,
178,347,196,322,181,318,165,348,
1,48,36,50,37,32,2,34,
112,163,116,179,126,180,127,162,
196,268,196,278,209,280,209,267,
146,279,111,303,119,307,151,291,
89,346,102,317,89,308,76,340,
119,292,154,278,147,273,111,285,
162,267,151,255,141,262,164,280,
131,247,132,235,145,233,140,253,
82,266,118,224,128,240,90,274,
25,250,54,279,58,265,35,251,
56,309,108,298,100,284,56,295,
136,324,133,355,150,357,147,315,
50,216,90,254,106,242,73,215,
334,54,358,62,364,51,329,47,
385,65,376,84,357,85,372,47,
373,42,399,82,407,76,383,31,
330,0,347,0,352,26,339,27,
292,72,268,47,292,54,299,71,
310,38,342,64,337,70,295,44,
299,61,328,82,334,73,309,57,
344,88,362,120,380,113,351,84,
290,136,342,164,336,176,302,164,
283,133,322,128,312,118,274,119,
258,157,302,166,285,142,256,140,
102,36,101,58,123,62,123,40,
66,121,51,148,37,137,56,101,
23,119,52,166,42,177,18,140,
66,168,104,150,111,153,95,176,
109,91,97,145,122,133,123,93,
250,109,270,92,268,79,254,86,
253,59,268,58,265,71,244,68,
237,87,252,81,243,70,233,74,
226,20,236,64,248,60,250,38,
208,66,214,97,194,85,194,71,
218,43,211,98,233,85,235,42,
165,64,198,47,207,54,171,81,
145,69,180,85,175,97,132,76,
152,135,185,123,183,140,145,144,
132,163,189,140,190,154,154,171,
233,136,249,161,235,171,224,157,
205,237,170,266,161,255,198,227,
226,185,204,247,220,246,242,190,
185,6,211,52,218,27,201,7,
107,76,137,72,154,59,107,67,
104,107,74,149,56,149,87,101,
69,186,98,231,114,226,111,193,
151,168,161,205,145,206,139,173,
171,176,154,226,182,216,187,182,
