
50,302,68,275,88,285,79,304,
343,0,260,20,252,6,259,1,
225,100,278,174,260,192,204,113,
541,167,549,200,530,227,519,167,
474,91,501,70,483,57,430,95,
458,90,489,89,486,138,452,132,
461,63,421,104,395,79,418,59,
215,182,216,215,191,215,171,154,
159,169,156,247,188,240,191,176,
424,194,460,177,455,161,405,159,
504,173,521,172,539,272,510,286,
628,349,581,357,561,327,636,317,
509,359,531,334,573,331,583,359,
561,328,628,314,627,268,550,297,
578,265,512,353,489,338,551,249,
503,316,410,232,400,273,490,338,
395,293,414,359,447,359,414,299,
212,267,208,354,240,358,241,261,
142,333,208,330,211,289,129,312,
67,345,120,314,146,340,93,359,
83,307,71,357,45,357,52,308,
74,209,153,230,138,257,68,243,
152,289,110,241,73,256,117,312,
398,14,525,1,532,25,408,41,
596,32,546,59,529,21,582,7,
562,72,491,112,550,121,582,81,
496,151,598,159,602,118,492,117,
221,1,220,26,254,20,250,1,
173,2,174,42,147,29,147,2,
150,0,100,64,68,39,104,1,
30,54,65,27,91,47,61,76,
216,26,307,17,298,49,218,48,
189,50,313,60,307,100,186,62,
352,130,319,160,291,144,322,111,
317,159,277,224,258,223,292,150,
38,287,51,357,19,358,16,290,
1,97,24,96,8,188,1,222,
13,151,83,257,57,275,4,214,
113,113,73,215,41,205,76,114,
72,203,135,115,152,137,96,214,
146,102,242,156,225,192,135,116,
180,157,115,243,94,211,153,134,
455,137,490,267,531,261,482,121,458,136,
387,23,406,145,363,108,349,24,
362,114,414,234,433,209,379,106,
377,148,385,220,354,241,355,138,
380,202,357,313,398,322,412,205,
282,260,378,355,331,358,273,295,
278,262,284,358,256,357,250,262,
178,237,280,225,308,254,177,266,
422,60,550,58,533,29,415,40,
168,45,92,123,67,100,141,23,
143,91,213,104,222,68,155,56,
211,90,292,144,316,119,230,59,
