
164,49,165,87,139,89,141,63,
134,117,176,148,198,123,162,82,
204,213,229,202,246,224,199,248,
262,240,235,309,192,299,218,227,
309,241,278,326,238,326,277,228,
382,120,394,143,342,165,321,133,
327,139,273,216,290,230,346,161,
318,84,372,104,354,140,299,126,
314,136,283,204,257,194,301,116,
394,182,473,236,448,257,371,221,
464,263,428,327,397,309,443,254,
492,284,575,332,540,356,464,304,
559,258,627,251,617,228,564,233,
591,245,537,301,559,318,607,254,
48,227,117,237,125,257,54,265,
87,301,170,328,159,355,84,339,
207,202,195,264,162,246,181,191,
339,111,423,88,414,58,342,86,
624,78,616,188,639,197,639,78,
545,2,564,132,531,136,504,2,
482,24,605,44,579,84,486,63,
403,20,434,124,463,94,437,6,
294,191,395,179,382,230,308,229,
333,199,452,153,436,126,323,175,
463,239,556,158,505,141,431,214,
223,308,202,357,161,358,184,298,
227,357,316,294,343,314,284,358,
0,357,4,295,41,294,31,359,
2,131,54,136,54,110,2,97,
88,185,142,153,104,145,53,174,
262,32,227,141,192,123,228,20,
